"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.711238570185829E9,"2024-03-23 20:02:50.186 UTC-04:00"
"PAUSE",5.713928408333413E1,1.711238627324395E9,"2024-03-23 20:03:47.324 UTC-04:00"
