"event","experiment time","system time","system time text"
"START",0.000000000E0,1712084370.276,"2024-04-02 14:59:30.276 UTC-04:00"
"PAUSE",4.848970587E1,1712084418.766,"2024-04-02 15:00:18.766 UTC-04:00"
