"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.711238907671333E9,"2024-03-23 20:08:27.671 UTC-04:00"
"PAUSE",4.829145120833346E1,1.711238955962178E9,"2024-03-23 20:09:15.962 UTC-04:00"
