"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.241435000E-1,-1.822533703E0,-4.099281165E-1,1.279472526E0,2.264226161E0
6.341335000E-1,-2.074988409E0,-3.536384332E-1,1.698462950E0,2.704702096E0
6.441235000E-1,-2.046226978E0,-4.231931099E-1,9.925806445E-1,2.313299287E0
6.541135000E-1,-1.817473231E0,-5.096833697E-1,4.157148135E-1,1.932823036E0
6.641025000E-1,-1.463870465E0,-5.693141520E-1,1.377106994E-1,1.576705293E0
6.740925000E-1,-1.182438933E0,-5.832059669E-1,-2.767487168E-1,1.347175149E0
6.840825000E-1,-1.022549452E0,-5.776929197E-1,-7.959621710E-1,1.418764346E0
6.940725000E-1,-9.501927164E-1,-5.943677169E-1,-1.344526309E0,1.750397148E0
7.040625000E-1,-9.530411875E-1,-5.371416020E-1,-1.860194011E0,2.158038546E0
7.140525000E-1,-1.066411829E0,-4.637081748E-1,-2.335350450E0,2.608854381E0
7.240425000E-1,-1.122368805E0,-3.920356366E-1,-2.740824450E0,2.987561270E0
7.340325000E-1,-1.113387263E0,-3.413920248E-1,-3.113378041E0,3.324049118E0
7.440225000E-1,-1.112954057E0,-3.096457368E-1,-3.387373304E0,3.578944693E0
7.540125000E-1,-1.142521088E0,-2.459704354E-1,-3.622192807E0,3.806065767E0
7.640025000E-1,-1.154491362E0,-1.613083076E-1,-3.754038749E0,3.930862196E0
7.739915000E-1,-1.158970036E0,-6.517452747E-2,-3.772287909E0,3.946848785E0
7.839815000E-1,-1.127453909E0,5.050386339E-2,-3.583916348E0,3.757413918E0
7.939715000E-1,-1.030047702E0,1.384281528E-1,-3.449389458E0,3.602561346E0
8.039615000E-1,-9.209926716E-1,1.878494042E-1,-3.443807706E0,3.569779603E0
8.139515000E-1,-7.397908938E-1,1.713155249E-1,-3.276168033E0,3.363021938E0
8.239415000E-1,-5.028246588E-1,1.997242221E-1,-2.951848124E0,3.001021451E0
8.339315000E-1,-3.502749686E-1,2.926051962E-1,-2.620888116E0,2.660331722E0
8.439215000E-1,-2.551619295E-1,3.860606593E-1,-2.356377037E0,2.401387762E0
8.539115000E-1,-2.586776776E-1,5.003137913E-1,-1.987953919E0,2.066201543E0
8.639015000E-1,-2.743240592E-1,6.895074704E-1,-1.590062588E0,1.754700338E0
8.738905000E-1,-3.293251989E-1,9.042245382E-1,-1.186564947E0,1.527747845E0
8.838805000E-1,-4.007744466E-1,1.114955559E0,-7.429255861E-1,1.398457894E0
8.938705000E-1,-3.719907966E-1,1.292279683E0,-3.557966405E-1,1.391026664E0
9.038605000E-1,-1.876531570E-1,1.333566580E0,6.071807206E-2,1.348072778E0
9.138505000E-1,2.787060723E-2,1.277730056E0,3.670537001E-1,1.329698945E0
9.238405000E-1,2.736751279E-1,1.164652214E0,6.158667594E-1,1.345587129E0
9.338305000E-1,5.081198973E-1,1.022092419E0,5.690685689E-1,1.275420628E0
9.438205000E-1,7.289633853E-1,8.543562672E-1,4.895476055E-1,1.225140444E0
9.538105000E-1,9.616670001E-1,8.072845732E-1,4.612786567E-1,1.337643376E0
9.638005000E-1,1.132107928E0,8.704045352E-1,5.643738395E-1,1.535509767E0
9.737905000E-1,1.281952038E0,9.113655965E-1,6.328184223E-1,1.695419545E0
9.837795000E-1,1.341663512E0,9.762207198E-1,7.147940469E-1,1.806653924E0
9.937695000E-1,1.365824061E0,9.690160730E-1,9.474910104E-1,1.924111933E0
1.003759500E0,1.375757165E0,9.057606018E-1,1.262016249E0,2.075040977E0
1.013749500E0,1.391839200E0,8.748414025E-1,1.502170166E0,2.226898976E0
1.023739500E0,1.432317282E0,8.089991230E-1,1.426150516E0,2.177135198E0
1.033729500E0,1.391776197E0,7.743472074E-1,1.439280438E0,2.146667827E0
1.043719500E0,1.258516836E0,7.261474393E-1,1.521928493E0,2.104143785E0
1.053709500E0,1.078098878E0,6.491195825E-1,1.585922760E0,2.024550425E0
1.063699500E0,9.372018843E-1,5.809546427E-1,1.776348447E0,2.090758110E0
1.073689500E0,8.909222688E-1,6.019269973E-1,2.192782468E0,2.442202603E0
1.083678500E0,9.363556460E-1,6.942184259E-1,2.754373033E0,2.990864745E0
1.093668500E0,9.685914190E-1,9.019325759E-1,3.316477568E0,3.570808756E0
1.103658500E0,9.304055925E-1,1.130786018E0,3.886219736E0,4.152955023E0
1.113648875E0,7.543586469E-1,1.259607196E0,4.440774931E0,4.677194591E0
1.123638875E0,5.402163604E-1,1.290089754E0,4.680411955E0,4.884917743E0
1.133628875E0,3.157319574E-1,1.233445584E0,4.596800864E0,4.769869271E0
1.143618875E0,1.729226321E-1,1.086591301E0,4.344271899E0,4.481437406E0
1.153608875E0,1.771927075E-1,8.918712719E-1,4.039051920E0,4.140141548E0
1.163598875E0,3.250078341E-1,6.964261883E-1,3.595123706E0,3.676350635E0
1.173588875E0,5.900742526E-1,5.539273502E-1,3.076073390E0,3.180762586E0
1.183578875E0,7.892991225E-1,4.378561726E-1,2.545719236E0,2.700999363E0
1.193567875E0,9.729385315E-1,3.128541040E-1,2.062839210E0,2.302127860E0
1.203557875E0,1.087794658E0,1.550786841E-1,1.571834478E0,1.917813923E0
1.213547875E0,1.102895092E0,-3.485539868E-2,1.130445126E0,1.579714742E0
1.223537875E0,1.116852103E0,-2.015472378E-1,7.730732453E-1,1.373179578E0
1.233527875E0,1.094291207E0,-3.292920890E-1,4.770240390E-1,1.238328898E0
1.243517875E0,1.029221344E0,-4.252890444E-1,2.760990912E-1,1.147343913E0
1.253507875E0,9.234845357E-1,-5.140946554E-1,-3.901554644E-2,1.057657419E0
1.263497875E0,7.857624342E-1,-6.218730193E-1,-4.069018900E-1,1.081534929E0
1.273487875E0,5.519085990E-1,-7.327751121E-1,-7.767663467E-1,1.202051756E0
1.283477875E0,2.469637312E-1,-8.402843580E-1,-1.240859268E0,1.518815529E0
1.293466875E0,-9.053536355E-2,-9.256002045E-1,-1.779763806E0,2.008106470E0
1.303456875E0,-4.061761044E-1,-1.011252266E0,-2.352003320E0,2.592205584E0
1.313446875E0,-7.151504347E-1,-1.096302356E0,-2.890981532E0,3.173498577E0
1.323436875E0,-9.484826982E-1,-1.184372826E0,-3.410034188E0,3.732384169E0
1.333426875E0,-1.081929754E0,-1.274000117E0,-3.840894459E0,4.188808726E0
1.343416875E0,-1.257561255E0,-1.317747815E0,-4.206925482E0,4.584336552E0
1.353406875E0,-1.415650378E0,-1.324227407E0,-4.503139579E0,4.902643194E0
1.363396875E0,-1.586205326E0,-1.275033613E0,-4.612587177E0,5.041598806E0
1.373386875E0,-1.734530623E0,-1.187451678E0,-4.637831361E0,5.091965996E0
1.383376875E0,-1.821612328E0,-1.024785646E0,-4.640166155E0,5.089164866E0
1.393366875E0,-1.873563231E0,-8.496282086E-1,-4.598971351E0,5.038119169E0
1.403355875E0,-1.877245077E0,-7.153208810E-1,-4.479176520E0,4.909048313E0
1.413345875E0,-1.835162373E0,-5.693825644E-1,-4.249869772E0,4.664055159E0
1.423335875E0,-1.694901849E0,-4.004038793E-1,-3.934207250E0,4.302441427E0
1.433325875E0,-1.531474072E0,-1.848869124E-1,-3.557740703E0,3.877771900E0
1.443315875E0,-1.319802234E0,-3.460966945E-3,-3.305504099E0,3.559248132E0
1.453305875E0,-1.119782289E0,4.652687967E-2,-3.187792631E0,3.379067768E0
1.463295875E0,-1.038245937E0,5.222645313E-2,-2.956197283E0,3.133653555E0
1.473285875E0,-1.062103600E0,1.149843264E-1,-2.636601924E0,2.844811972E0
1.483275875E0,-1.233145037E0,2.965386182E-1,-2.390921803E0,2.706490144E0
1.493265875E0,-1.429915684E0,5.403870991E-1,-2.085861452E0,2.586019157E0
1.503254875E0,-1.578835496E0,7.540616083E-1,-1.623627945E0,2.386943262E0
1.513244875E0,-1.748833789E0,9.363494334E-1,-1.126495916E0,2.281263451E0
1.523234875E0,-1.897093597E0,1.108516605E0,-6.246709120E-1,2.284291340E0
1.533224875E0,-1.916159174E0,1.247902532E0,-1.107819325E-1,2.289366582E0
1.543214875E0,-1.832133954E0,1.283047806E0,4.837243634E-1,2.288430851E0
1.553204875E0,-1.672465352E0,1.311747695E0,1.120808330E0,2.402921905E0
1.563194875E0,-1.503778735E0,1.339708495E0,1.653765079E0,2.605975494E0
1.573184875E0,-1.305532397E0,1.341773147E0,2.112831734E0,2.822911256E0
1.583174875E0,-1.023647047E0,1.326369242E0,2.523095189E0,3.028715565E0
1.593164875E0,-7.617528896E-1,1.286443577E0,3.005411543E0,3.356739949E0
1.603153875E0,-5.461043969E-1,1.229237050E0,3.581790885E0,3.826026618E0
1.613143875E0,-4.068985279E-1,1.319733530E0,4.433275293E0,4.643403151E0
1.623133875E0,-3.102822793E-1,1.597483582E0,5.273383942E0,5.518768620E0
1.633123875E0,-2.235378850E-1,1.820619471E0,5.760017880E0,6.045033533E0
1.643113875E0,-1.374622293E-1,1.818009274E0,6.230932163E0,6.492192943E0
1.653103875E0,-7.446535114E-2,1.575447765E0,6.421794053E0,6.612640895E0
1.663093875E0,3.867129162E-2,1.283696263E0,6.196816583E0,6.328499611E0
1.673083875E0,7.587427430E-2,9.110722125E-1,5.898991578E0,5.969414638E0
1.683073875E0,1.653316671E-2,5.855609331E-1,5.413131226E0,5.444735496E0
1.693063875E0,-6.601345673E-2,4.608766606E-1,4.840083042E0,4.862424182E0
1.703053875E0,-8.071315588E-2,4.921069318E-1,4.370955668E0,4.399311003E0
1.713042875E0,-8.461118393E-2,5.205761477E-1,3.972739817E0,4.007595318E0
1.723032875E0,-2.972382741E-2,3.418963471E-1,3.525603236E0,3.542266901E0
1.733022875E0,-2.125828341E-3,6.900036067E-2,3.157319282E0,3.158073877E0
1.743012875E0,-1.156975679E-1,-2.359170252E-1,2.816770425E0,2.828999540E0
1.753002875E0,-2.923405915E-1,-5.127116427E-1,2.404147620E0,2.475532675E0
1.762992875E0,-4.280433022E-1,-7.390415731E-1,1.938527405E0,2.118322925E0
1.772982875E0,-5.107012969E-1,-9.849041274E-1,1.572679986E0,1.924623156E0
1.782972875E0,-5.408293679E-1,-1.139479659E0,1.194516576E0,1.737175912E0
1.792962875E0,-5.461258489E-1,-1.231334154E0,7.890338051E-1,1.561093075E0
1.802952875E0,-5.421571244E-1,-1.243890757E0,3.424684972E-1,1.399458193E0
1.812942875E0,-6.048667215E-1,-1.292755646E0,-1.098925710E-1,1.431487788E0
1.822931875E0,-6.878936389E-1,-1.376336916E0,-6.555184829E-1,1.672484812E0
1.832921875E0,-7.446522689E-1,-1.489714135E0,-1.256603481E0,2.086338303E0
1.842911875E0,-8.331278776E-1,-1.602322153E0,-1.850376536E0,2.585620171E0
1.852901875E0,-9.097383164E-1,-1.729628317E0,-2.363707107E0,3.066977210E0
1.862891875E0,-9.820727594E-1,-1.865983632E0,-2.875201651E0,3.565549937E0
1.872881875E0,-1.060770727E0,-1.986082518E0,-3.310934408E0,4.004003616E0
1.882871875E0,-1.122604448E0,-2.093107029E0,-3.739121332E0,4.429714000E0
1.892861875E0,-1.131530077E0,-2.037227236E0,-4.051968420E0,4.674302429E0
1.902851875E0,-1.171665511E0,-1.887267205E0,-4.366386069E0,4.898969777E0
1.912841875E0,-9.684237501E-1,-1.729956053E0,-4.659336836E0,5.063596771E0
1.922830875E0,-7.025947085E-1,-1.671834730E0,-4.766673004E0,5.099984531E0
1.932820875E0,-4.948559272E-1,-1.626005423E0,-4.626820469E0,4.929121999E0
1.942810875E0,-1.832092731E-1,-1.472298203E0,-4.595227379E0,4.828803402E0
1.952800875E0,1.004329089E-1,-1.293394454E0,-4.678127448E0,4.854671194E0
1.962790875E0,4.269358396E-1,-1.024290095E0,-4.528510648E0,4.662494300E0
1.972780875E0,6.791389684E-1,-6.777218226E-1,-4.232990030E0,4.340361875E0
1.982770875E0,6.339740514E-1,-3.437886523E-1,-3.578767875E0,3.650711333E0
1.992760875E0,8.511464381E-1,3.757366692E-1,-3.156822853E0,3.291072596E0
2.002750875E0,7.671789595E-1,6.829262830E-1,-3.358888008E0,3.512418044E0
2.012740875E0,8.001081392E-1,3.161704986E-1,-3.694791836E0,3.793629335E0
2.022730875E0,1.378455362E0,-5.086143525E-1,-3.619515367E0,3.906369060E0
2.032719875E0,1.340908198E0,-3.571666431E-1,-3.158161281E0,3.449577580E0
2.042709875E0,1.219174723E0,4.082116663E-2,-2.778410937E0,3.034406154E0
2.052699875E0,1.128150532E0,3.859271235E-1,-2.108756225E0,2.422502050E0
2.062689875E0,6.791562907E-1,7.103706282E-1,-1.178692841E0,1.534664950E0
2.072679875E0,-7.642734781E-2,9.727017923E-1,-5.625044847E-1,1.126233196E0
2.082669875E0,-7.371764575E-1,1.053312458E0,-6.622878045E-1,1.446209320E0
2.092659875E0,-9.943036728E-1,8.322960381E-1,-1.474645568E0,1.963653748E0
2.102649875E0,-9.313506487E-1,3.280622369E-1,-1.794510484E0,2.048244795E0
2.112640292E0,-6.137057016E-1,-4.150103336E-1,-1.188412083E0,1.400425487E0
