"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.711239320623232E9,"2024-03-23 20:15:20.623 UTC-04:00"
"PAUSE",5.153525695833378E1,1.711239372157411E9,"2024-03-23 20:16:12.157 UTC-04:00"
