"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.298958530E-1,1.389795065E0,4.331622124E-1,-2.633094788E-1,1.479355166E0
3.346374150E-1,1.367185593E0,3.890132904E-1,-5.286426544E-1,1.516572069E0
3.393789780E-1,1.229997754E0,2.057652473E-1,-5.663213730E-1,1.369654595E0
3.441204880E-1,1.014261961E0,-6.741714478E-2,-4.084815979E-1,1.095504273E0
3.488620510E-1,7.531092167E-1,-3.683013916E-1,-2.040195465E-2,8.385914661E-1
3.536036130E-1,7.059273720E-1,-6.002373695E-1,4.084262848E-1,1.012635366E0
3.583451760E-1,8.619129658E-1,-8.211245537E-1,9.223918915E-1,1.505970217E0
3.630867380E-1,9.911897182E-1,-1.100058079E0,1.355526924E0,2.007495474E0
3.678283010E-1,1.003721714E0,-1.365988731E0,1.657389641E0,2.370722024E0
3.725698110E-1,1.091219425E0,-1.546700478E0,1.832479477E0,2.634582175E0
3.773113740E-1,1.143319964E0,-1.653632641E0,1.949041367E0,2.800079231E0
3.820529360E-1,1.160170913E0,-1.726098061E0,1.996382713E0,2.882872699E0
3.867944990E-1,1.291203737E0,-1.745981455E0,1.852976799E0,2.854677101E0
3.915360610E-1,1.424174666E0,-1.763673544E0,1.585301399E0,2.766224571E0
3.962776240E-1,1.609136224E0,-1.710876465E0,1.266076088E0,2.668214070E0
4.010191340E-1,1.746936440E0,-1.664317608E0,9.246120453E-1,2.583920947E0
4.057606970E-1,1.806209803E0,-1.687838554E0,5.520725250E-1,2.532977874E0
4.105022590E-1,1.864639401E0,-1.669575214E0,1.443843842E-1,2.507031780E0
4.152438220E-1,1.805119634E0,-1.601019382E0,-1.581220627E-1,2.417999698E0
4.199853840E-1,1.679575682E0,-1.499782562E0,-4.911470413E-1,2.304679505E0
4.247268950E-1,1.610014558E0,-1.413765907E0,-8.801622391E-1,2.316369246E0
4.294684570E-1,1.551416159E0,-1.361678839E0,-1.341041565E0,2.461595791E0
4.342100200E-1,1.451869965E0,-1.329024315E0,-1.785456657E0,2.657458842E0
4.389515820E-1,1.418790936E0,-1.261110783E0,-2.147444725E0,2.866162412E0
4.436931450E-1,1.553796172E0,-1.198317051E0,-2.496706963E0,3.175498694E0
4.484347070E-1,1.714118838E0,-1.092795372E0,-2.887940884E0,3.531657920E0
4.531762170E-1,1.803291798E0,-9.849491119E-1,-3.301858425E0,3.888991530E0
4.579177800E-1,1.770448327E0,-1.009387970E0,-3.681637764E0,4.208064636E0
4.626593420E-1,1.703998089E0,-9.897117615E-1,-3.831300735E0,4.308364444E0
4.674009050E-1,1.419258833E0,-8.982658386E-1,-3.696581364E0,4.060282124E0
4.721424670E-1,1.136876702E0,-8.631486893E-1,-3.735393524E0,3.998834715E0
4.768840300E-1,-8.981153965E-1,-1.016056061E0,-2.950351715E0,3.247084296E0
4.816255400E-1,-2.283226490E0,-4.455022812E-1,-9.217739105E-2,2.328109138E0
4.863671030E-1,-2.270941257E0,-3.977222443E-1,6.568241119E-1,2.397243228E0
4.911086650E-1,-1.915421247E0,-4.473109245E-1,6.188678741E-2,1.967931806E0
4.958502280E-1,-1.273794055E0,-6.712536812E-1,-4.214468002E-1,1.500250047E0
5.005917900E-1,-6.227216721E-1,-9.748239517E-1,-1.127492905E0,1.615334104E0
5.053333010E-1,-2.247161865E-1,-1.195101261E0,-2.382896423E0,2.675249475E0
5.100748630E-1,1.310501099E-1,-1.233127117E0,-3.619906902E0,3.826421644E0
5.148164260E-1,6.012517214E-1,-1.176939964E0,-4.365833759E0,4.561490516E0
5.195579880E-1,1.011934280E0,-1.152495384E0,-4.704248905E0,4.947950521E0
5.242995510E-1,1.209296107E0,-1.187569141E0,-4.985633850E0,5.265858185E0
5.290411130E-1,1.268433332E0,-1.158442497E0,-5.172706604E0,5.450486744E0
5.337826240E-1,1.214230061E0,-1.115895748E0,-5.126338959E0,5.385065374E0
5.385241860E-1,1.161659956E0,-1.039259434E0,-4.997800350E0,5.235219419E0
5.432657490E-1,1.111109376E0,-9.175291061E-1,-4.820643902E0,5.031404509E0
5.480073110E-1,1.084658384E0,-7.516369820E-1,-4.535545349E0,4.723622929E0
5.527488740E-1,1.033241034E0,-5.520038605E-1,-4.225978374E0,4.385337902E0
5.574904360E-1,1.052705646E0,-3.761963844E-1,-3.979562759E0,4.133598027E0
5.622319470E-1,1.043082833E0,-2.596540451E-1,-3.835918903E0,3.983681194E0
5.669735090E-1,8.763263226E-1,-2.445464134E-1,-3.713470936E0,3.823299251E0
5.717150720E-1,7.432597876E-1,-3.133692741E-1,-3.557503223E0,3.647802708E0
5.764566340E-1,6.765240431E-1,-3.751664162E-1,-3.349387646E0,3.437561959E0
5.811981970E-1,6.419793963E-1,-4.607419968E-1,-3.189341068E0,3.285774974E0
5.859397590E-1,6.677747369E-1,-5.436792374E-1,-3.048516750E0,3.167801223E0
5.906812700E-1,7.248290181E-1,-5.718026161E-1,-2.853151798E0,2.998801514E0
5.954228320E-1,7.725659609E-1,-6.170201302E-1,-2.522824287E0,2.709652079E0
6.001643950E-1,7.609388232E-1,-6.417341232E-1,-2.120052814E0,2.342108988E0
6.049059570E-1,7.564471364E-1,-6.512079239E-1,-1.775791168E0,2.037085738E0
6.096475200E-1,7.871679068E-1,-6.554141045E-1,-1.491687775E0,1.809511917E0
6.143890820E-1,8.904348612E-1,-6.571450233E-1,-1.198148251E0,1.631034351E0
6.191305920E-1,9.560961723E-1,-5.948462486E-1,-1.006724358E0,1.510448901E0
6.238721550E-1,1.038805842E0,-5.498261452E-1,-9.497795105E-1,1.511127886E0
6.286137170E-1,1.083617926E0,-5.144968033E-1,-9.979043007E-1,1.560367829E0
6.333552800E-1,1.152585030E0,-4.289221764E-1,-1.112523079E0,1.658352823E0
6.380968420E-1,1.264794111E0,-3.192739487E-1,-1.245768070E0,1.803767746E0
6.428384050E-1,1.318042994E0,-1.948270798E-1,-1.404818535E0,1.936158578E0
6.475799150E-1,1.253626108E0,-1.053276062E-1,-1.470817566E0,1.935452566E0
6.523214780E-1,1.158012986E0,-1.955413818E-2,-1.475380898E0,1.875666610E0
6.570630400E-1,1.026930571E0,6.960105896E-2,-1.373767376E0,1.716586004E0
6.618046030E-1,8.874720335E-1,9.532928467E-2,-1.154685020E0,1.459449136E0
6.665461650E-1,7.951732278E-1,1.314768791E-1,-8.948187828E-1,1.204278741E0
6.712876760E-1,7.410920262E-1,1.657347679E-1,-6.654953957E-1,1.009737355E0
