,Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),labels
75,0.409092973,-10.22439384,-2.015590429,-3.27852726,10.92472312,
76,0.413835056,-12.03870678,-2.330014706,-2.258125782,12.46830227,
77,0.418577139,-10.71990585,-1.991795063,-0.6644434929,10.92360354,
78,0.423319223,-6.383190155,-1.335095167,1.508797646,6.693583943,
79,0.428061306,-1.599967718,-0.2612125874,2.879810333,3.304759639,
80,0.432803441,1.364413142,0.870954752,2.81965065,3.251248251,
81,0.437545525,0.4777526855,2.603882074,0.5677051544,2.70753368,
82,0.442287608,0.6517183781,3.295994282,-0.5001621246,3.396833423,
83,0.447029691,0.4219508171,3.056904554,-0.5330038071,3.131581231,
84,0.451771775,-0.3549759388,2.603916645,-1.774400234,3.170944024,
85,0.456513858,-0.9931004047,2.13249445,-2.875678539,3.715280346,
86,0.461255993,-1.207807302,1.809307098,-3.094450951,3.782593996,
87,0.465998077,-0.9551479816,1.737727165,-2.724784374,3.369933717,
88,0.47074016,-0.6197581291,1.818495274,-2.179297447,2.905230208,
89,0.475482243,-0.550157547,2.038036346,-1.911044121,2.847517359,
90,0.480224327,-0.5137145519,2.285600424,-1.743822098,2.920408781,
91,0.484966462,-0.3247497082,2.47744441,-1.81634903,3.089064094,
92,0.489708546,0.2704362869,2.504617214,-1.699466228,3.038820271,
93,0.494450629,0.9892116785,2.280278683,-1.332654953,2.820315557,
94,0.499192712,1.02826798,1.774486303,-0.6959075928,2.165738686,
95,0.503934796,0.4181842804,0.9099597931,-0.1747350693,1.016581163,
96,0.508676879,-0.2424550056,0.05980181694,0.2190227509,0.3321620876,
97,0.513418962,-1.179389358,-0.394020319,1.011975288,1.603217157,
98,0.518161046,-1.711818814,-0.7474117279,2.245121002,2.920533557,
99,0.522903181,-1.817682981,-1.007827044,4.171058655,4.660194961,
100,0.527645264,-1.626777768,-1.285966158,5.51725769,5.894085789,
101,0.532387348,-1.107804537,-1.563998461,5.632977486,5.950105666,
102,0.537129431,-0.4643362761,-1.817857862,4.998494148,5.339022301,
103,0.541871514,0.1850795746,-1.943054199,3.998813629,4.44974432,
104,0.546613598,0.9168387055,-2.014517546,3.041520119,3.761611196,
105,0.551355681,1.431272268,-2.114131689,2.571310043,3.623496715,
106,0.556097816,1.28932333,-2.669127941,3.380195618,4.495811498,
107,0.5608399,0.8243866563,-2.981790304,3.309080124,4.529977709,
108,0.565581983,0.3803701401,-3.096692562,2.275337219,3.861521168,
109,0.570324066,0.1307131052,-3.328927994,1.919710159,3.845014252,
110,0.57506615,-0.2787197828,-3.564317226,2.020532608,4.106652411,
111,0.579808233,-0.9154065847,-3.701465607,2.393995285,4.502225036,
112,0.584550316,-1.621273994,-3.627582788,2.75810051,4.836838293,
113,0.5892924,-2.045622826,-3.327889919,2.942358017,4.890490237,
114,0.594034483,-2.129697561,-2.946083069,3.086091995,4.768540757,
115,0.598776566,-2.054617643,-2.747674942,2.211428642,4.081860836,
116,0.603518702,-2.174462795,-2.859078169,1.743968964,3.992999395,
117,0.608260785,-1.896899581,-2.783880949,2.561740875,4.232107923,
118,0.613002868,-1.21638,-2.853623867,3.261685371,4.501259928,
119,0.617744952,-0.3645720482,-2.819801092,3.05013752,4.169835712,
120,0.622487035,-0.427696228,-3.600972652,2.6352911,4.482709815,
121,0.627229118,-0.2366905212,-4.561898708,1.614643097,4.844998922,
122,0.631971202,0.2271905541,-5.069365978,0.2243852615,5.07941293,
123,0.636713285,0.5574424267,-5.228744984,-0.7957577705,5.318246571,
124,0.641455368,0.8049713969,-5.118612766,-1.80946064,5.488380764,
125,0.646197452,1.234135628,-4.592334747,-3.214984417,5.74010052,
126,0.650939535,1.927475691,-2.821352959,-8.617696762,9.270377152,
127,0.655681671,3.509462595,1.210531235,-14.59378242,15.058559,
128,0.660423702,3.394682407,1.66801405,-7.665081501,8.547491675,
129,0.665165837,2.041885376,2.281726837,-3.91155386,4.967476909,
130,0.669907921,-0.1472412944,2.180592537,-4.399104118,4.912105542,
131,0.674650004,-2.091287613,1.008286476,-4.800986767,5.332879094,
132,0.679392087,-2.733939886,0.02733898163,-4.085017681,4.915541087,
133,0.684134171,-2.64548564,-0.3132195473,-3.463671684,4.369636403,
134,0.688876254,-2.698892593,0.09025764465,-3.719868422,4.59669324,
135,0.693618337,-2.862892628,0.4433922768,-3.673391104,4.67830665,
136,0.698360421,-2.930158138,0.5781126022,-3.062740326,4.277898924,
137,0.703102504,-2.777315855,0.5823431015,-2.584085464,3.837981831,
138,0.707844587,-2.484720707,0.2985749245,-2.412942886,3.47638855,
139,0.712586671,-2.366753101,-0.1737947464,-2.240335941,3.263560937,
140,0.717328754,-2.42567873,-0.584895134,-2.119996071,3.274202645,
141,0.722070837,-2.565623045,-0.8375043869,-1.462172031,3.069492182,
142,0.726812921,-2.634200335,-0.6566257477,-0.6702628136,2.796322766,
143,0.731555056,-3.183508158,0.3576846123,1.142641068,3.401219058,
144,0.736297139,-3.066653728,0.6490731239,0.3824090958,3.157831175,
145,0.741039223,-3.027170658,0.6470813751,0.04695701599,3.095913671,
146,0.745781306,-2.657369852,0.8615913391,0.1629538536,2.798304509,
147,0.750523389,-2.489022017,1.352796555,0.3329319954,2.852390722,
148,0.755265473,-2.632086515,2.062402248,0.1062917709,3.345546353,
149,0.760007556,-2.91821909,2.252495289,-0.3467583656,3.702698887,
150,0.764749639,-2.993019819,1.635355473,-0.9360542297,3.536771505,
151,0.769491723,-2.650429726,0.6297678947,-1.479547501,3.100071957,
152,0.774233806,-1.985096931,-0.1578221321,-1.8176651,2.69618695,
153,0.778975889,-1.535535336,-0.3893985748,-2.036335468,2.579953906,
154,0.783717973,-0.4603375793,-0.8912410736,-1.625162125,1.909809747,
155,0.788460056,0.4054140747,-1.443051338,-0.8492684364,1.722792679,
156,0.793202139,0.922567904,-1.661678314,-0.4027318954,1.942807077,
157,0.797944223,1.286809206,-1.609097481,-0.221057415,2.072182187,
158,0.802686306,1.479830742,-1.249464035,-0.1568622589,1.943107091,
159,0.807428389,1.759369612,-0.6063475609,-0.1496119499,1.866928636,
160,0.812170473,1.417697906,0.1208786964,-0.8078298569,1.636174835,
161,0.816912556,2.071264505,0.4119381905,-0.3297939301,2.137426902,
162,0.821654639,2.577587843,0.4678010941,0.7274131775,2.718809828,
163,0.826396723,2.627705097,0.1005363464,1.531516552,3.043104432,
164,0.831138806,2.06437397,-0.4451804161,1.92306757,2.856223795,
165,0.835880889,1.211918354,-0.9990358353,2.068595886,2.597288516,
166,0.840622973,0.2739437222,-1.550774097,2.121288776,2.641933295,
167,0.845365056,-0.9441066384,-2.387475491,2.373589039,3.496469861,
168,0.850107139,-1.640306592,-2.531264782,2.771264076,4.096072716,
169,0.854849223,-2.065945387,-2.608048439,3.406448364,4.761715811,
170,0.859591306,-2.248207569,-2.404028893,3.798843384,5.026430467,
171,0.864333389,-2.41622138,-2.224949837,3.699060917,4.946875701,
172,0.869075473,-2.727794647,-1.960656166,3.337786674,4.73559459,
173,0.873817556,-2.726220846,-1.75909853,2.994874477,4.415425333,
174,0.878559639,-2.559659481,-1.655525208,2.498792171,3.941647205,
175,0.883301723,-2.413753033,-1.644164085,1.835843086,3.44960854,
176,0.888043806,-2.021998644,-1.483691692,1.218453884,2.788269969,
177,0.892785889,-1.432812214,-1.362562656,0.5434036255,2.050564638,
178,0.897527921,-0.5189014673,-1.285265923,-0.1176147461,1.391042937,
179,0.902270056,0.3823236227,-1.34961319,-0.3738298416,1.451680359,
180,0.907012087,1.090739608,-1.272074223,-0.488992691,1.745565688,
181,0.911754223,1.358111858,-1.146241188,-0.676030159,1.901408283,
182,0.916496254,0.9748307467,-0.9244747162,-0.9277300835,1.632676206,
183,0.921238337,0.7425612211,-0.9397358894,-1.741851807,2.113894138,
184,0.925980421,0.8375581503,-1.227631569,-2.913761616,3.270869866,
185,0.930722504,0.8914034367,-1.390594482,-3.527955055,3.895487129,
186,0.935464587,0.547441721,-1.400492191,-3.613889694,3.914239331,
187,0.940206671,-0.1332862377,-1.424843311,-3.514656782,3.7948328,
188,0.944948754,-0.7666919231,-1.606412411,-3.402312517,3.839805699,
189,0.949690837,-1.211116433,-1.848963737,-3.424269915,4.075671033,
190,0.954432921,-1.48722887,-2.042677402,-3.319807529,4.171990258,
191,0.959175004,-1.698922753,-2.207110405,-3.134180784,4.192942171,
192,0.963917087,-1.973156929,-2.416706562,-2.662182331,4.101345345,
193,0.968659171,-2.290522099,-2.624259472,-1.897303104,3.966483119,
194,0.973401254,-2.45009923,-2.859182596,-1.033228874,3.904545205,
195,0.978143337,-2.155827522,-3.155880213,-0.1698403358,3.825704898,
196,0.982885421,-1.601627231,-3.338681221,0.4050621986,3.725060733,
197,0.987627504,-1.10725677,-3.458799124,0.6837091446,3.695506343,
198,0.992369535,-0.7436683178,-3.459709167,0.7654614449,3.620574722,
199,0.997111671,-0.4292588234,-3.306392193,0.6418733597,3.395363586,
200,1.001853702,-0.1730828285,-3.056598902,0.3327450752,3.07952493,
201,1.006595785,-0.05064988136,-2.805520058,-0.1592993736,2.810495418,
202,1.011337868,-0.04428625107,-2.604537725,-0.7557201385,2.712322061,
203,1.016079952,-0.02951312065,-2.509400845,-1.378298759,2.863157539,
204,1.020822035,-0.001197576523,-2.209274769,-1.641580105,2.752395625,
205,1.025564118,0.4175646305,-2.186057568,-1.921840668,2.940523671,
206,1.030306202,1.128611565,-2.137286901,-2.747983932,3.659668709,
207,1.035048285,1.891741753,-1.971973419,-3.390663385,4.354763394,
208,1.039790368,2.605341673,-1.576151848,-3.498611689,4.638140104,
209,1.044532452,3.111524343,-1.069807291,-3.406358242,4.735963244,
210,1.049274483,3.39107132,-0.6795465946,-3.277583838,4.764840405,
211,1.054016566,3.538349628,-0.4432926178,-2.883572102,4.586002017,
212,1.05875865,3.673246384,-0.3899011612,-2.296405792,4.349510487,
213,1.063500733,3.63415432,-0.4579491615,-1.428121567,3.931453454,
214,1.068242816,3.35591507,-0.6788847446,-0.4514045715,3.453522338,
215,1.0729849,2.950061798,-1.000386,0.5069236755,3.156043151,
216,1.077726983,1.979890347,-1.222023249,2.193898678,3.197889619,
217,1.082469066,-2.380811214,0.06722974777,10.12282944,10.39925275,
218,1.08721115,-3.889970303,-3.263174534,11.03404427,12.14620557,
219,1.091953181,-5.734882355,-5.493432999,10.71727943,13.338919,
220,1.096695264,-4.908030987,-5.819338799,6.734110832,10.16374542,
221,1.101437348,-4.688168526,-4.241131783,5.639833927,8.471944856,
222,1.106179431,-3.707439661,-3.773694038,4.856673717,7.181445198,
223,1.110921514,-0.9539387226,-3.900960445,2.109318256,4.536156412,
224,1.115663598,2.368716717,-3.580350876,-0.9972443581,4.407292546,
225,1.120405681,3.975021839,-2.240330935,-1.610870838,4.83888274,
226,1.125147764,4.456084728,-1.56500411,-1.357981682,4.914269347,
227,1.129889796,4.932734966,-1.773693919,-1.781068802,5.536250576,
228,1.134631879,5.514560223,-2.062916279,-2.640362263,6.452713453,
229,1.139373962,6.01477623,-2.006364822,-3.273997307,7.135971641,
230,1.144116046,6.294324398,-1.819524169,-3.314221859,7.342564563,
231,1.148858129,6.505524158,-1.519485831,-3.205154419,7.40970287,
232,1.153600212,6.664290428,-1.221239567,-2.936079979,7.384088206,
233,1.158342243,6.713245392,-1.153982162,-2.403672218,7.223363389,
234,1.163084327,6.550912857,-1.305564165,-1.674773216,6.886495653,
235,1.16782641,6.893303871,-1.215426922,1.381419182,7.134649243,
236,1.172568493,5.076991081,-1.739981413,4.512230873,7.011676063,
237,1.177310577,3.265682697,-1.742985725,8.003593445,8.81817389,
238,1.18205266,2.133580685,-2.3970294,7.622735023,8.270671419,
239,1.186794743,3.37780714,-2.413258791,6.630821228,7.823118894,
240,1.191536775,4.017772198,-1.8489151,7.383622169,8.606907506,
241,1.196278858,4.970139503,-0.8218815327,10.19417,11.37096644,
242,1.201020941,4.828470707,-0.4154362977,11.62115383,12.59118474,
243,1.205763025,3.840350151,-0.8528404832,11.73095322,12.37299032,
244,1.210505108,3.618298531,-1.019145727,11.28003788,11.88991156,
245,1.215247191,3.693999767,-0.7060697079,11.51660156,12.11512609,
246,1.219989223,3.543201923,-0.2338368893,10.88119984,11.44593681,
247,1.224731306,2.730786324,-0.07300984859,11.35398197,11.67798917,
248,1.229473389,2.163519382,-0.4161668122,9.827963829,10.07188582,
249,1.234215473,1.334588528,-0.4299069941,8.892264366,9.002128199,
250,1.238957556,0.4320337772,-0.5716515183,7.415724754,7.450262564,
251,1.243699639,0.5117239952,-0.8155201674,4.937626839,5.030615607,
252,1.248441671,0.8555264473,-0.7879158258,3.212370872,3.416440176,
253,1.253183754,0.877767086,-0.733558774,1.740729332,2.082959947,
254,1.257925837,2.023783922,-0.352671206,-0.4225330353,2.09728694,
255,1.262667921,3.202893734,0.0395386219,-1.723948002,3.63759375,
256,1.267410004,3.706663847,-0.01566147804,-2.653211594,4.558413531,
257,1.272152035,3.91770196,-0.2308334708,-3.366032124,5.170284808,
258,1.276894118,4.059165001,-0.4756525159,-3.654694557,5.482687126,
259,1.281636202,4.152197838,-0.4966781735,-3.757856369,5.622181123,
260,1.286378285,4.237503052,-0.2515118122,-4.034059048,5.856050094,
261,1.291120316,4.136072636,-0.02292668819,-4.177301884,5.878560496,
262,1.2958624,3.811768055,0.00746512413,-4.259140491,5.715759718,
263,1.300604483,3.144639969,-0.2018597126,-4.055789948,5.136043222,
264,1.305346566,1.777605534,-0.6047250628,-1.839086533,2.628271886,
265,1.31008865,0.8379745483,-1.530687571,-0.4262924194,1.796366057,
266,1.314830681,-0.3826038837,-3.233564377,-0.5166873932,3.296860654,
267,1.319572764,-2.301822662,-5.656715393,-0.1115684509,6.108130985,
268,1.324314848,-4.42161274,-7.580194473,1.238137245,8.862448381,
269,1.329056931,-4.564994812,-7.286300182,0.5525569916,8.615954225,
270,1.333799014,-4.118188858,-6.053645611,0.3688964844,7.330906442,
271,1.338541046,-3.946544647,-5.053425312,-0.1808738708,6.414439757,
272,1.343283129,-3.285639286,-4.236791134,-1.042076111,5.461844675,
273,1.348025212,-2.136501551,-3.362173557,-0.9483194351,4.09489434,
274,1.352767296,-1.131201982,-2.757399082,-1.320965767,3.260033463,
275,1.357509327,0.4195716381,-2.337432623,-1.12487793,2.62773324,
276,1.36225141,1.918256998,-1.802612066,1.037426949,2.829377113,
277,1.366993493,3.085160494,-1.539307117,1.030949593,3.598685696,
278,1.371735577,3.743259192,-1.161536813,-0.9192323685,4.025685692,
279,1.376477608,4.984123707,-0.2799065113,-0.8468399048,5.063296812,
280,1.381219691,5.541175842,0.02370834351,0.6738758087,5.582051631,
281,1.385961775,5.533142567,-0.3899748921,1.449573517,5.733150134,
282,1.390703858,5.240901947,-0.6426354647,1.783611298,5.5732668,
283,1.395445889,4.648139477,-0.417797029,1.735171318,4.979013402,
284,1.400187973,2.219278336,-0.139673233,1.634068489,2.759508067,
285,1.404930056,-1.137747288,-0.04524099827,0.5453882217,1.262522852,
286,1.409672139,-4.758584023,-0.1946833134,-0.7546930313,4.821989741,
287,1.414414171,-8.131853104,-0.3296990395,-2.728429794,8.583709309,
288,1.419156254,-11.38512993,-0.3960545063,-3.249605179,11.84643307,
289,1.423898337,-14.85219288,-1.128249645,-3.034301281,15.20090671,
290,1.428640421,-15.85139751,-0.8836611509,-3.216227055,16.19851156,
291,1.433382452,-14.51048565,-0.3140044212,-3.197764874,14.86198145,
292,1.438124535,-11.50741196,0.2030336857,-3.787360191,12.11634639,
293,1.442866618,-7.912611485,0.9411302805,-5.03144598,9.42393736,
294,1.44760865,-4.484599113,1.787593126,-6.433954716,8.043810768,
295,1.452350733,-2.056657791,2.567126751,-7.20849514,7.923533505,
296,1.457092816,-0.07247781754,3.754856586,-7.180829525,8.103611151,
297,1.4618349,0.9083337784,5.052173615,-6.822319031,8.537772862,
298,1.466576931,1.670511723,5.766389847,-7.287824631,9.44215278,
299,1.471319014,3.054844379,5.969274521,-8.218292236,10.60682044,
300,1.476061098,4.673613071,5.899330616,-8.239744186,11.15966599,
301,1.480803129,5.937188148,5.490397453,-8.583579063,11.79290027,
302,1.485545212,6.574496269,4.820931435,-8.773925781,11.97694263,
303,1.490287296,6.561220169,3.800401211,-8.661934853,11.51181023,
304,1.495029379,6.073518276,2.727301121,-8.105081558,10.48895337,
305,1.49977141,5.233686447,1.992814541,-6.764114857,8.781573516,
306,1.504513493,4.302653313,1.484270692,-5.033215523,6.785951924,
307,1.509255577,3.244740248,1.085215807,-3.655643463,5.006971315,
