"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.379615660E-1,2.584652901E-1,-1.538660526E-1,3.735189438E0,3.747281575E0
3.427036500E-1,4.177420139E-1,-6.732821465E-2,3.632541180E0,3.657102255E0
3.474457330E-1,7.536891699E-1,3.954553604E-2,3.604882240E0,3.683040480E0
3.521878160E-1,1.221928835E0,1.784958839E-1,3.627408028E0,3.831848099E0
3.569299520E-1,1.709246159E0,4.992635250E-1,4.109604836E0,4.478798768E0
3.616720350E-1,2.431540489E0,9.314227104E-1,5.408879280E0,6.002991961E0
3.664141180E-1,3.143024206E0,1.305284262E0,6.642346382E0,7.463453197E0
3.711562020E-1,3.463412046E0,1.542294502E0,7.352319717E0,8.272272999E0
3.758983370E-1,3.428350449E0,1.700126410E0,7.676431656E0,8.577390021E0
3.806404210E-1,2.569450378E0,1.964016438E0,6.098622322E0,6.903088442E0
3.853825040E-1,1.577743649E0,1.948489428E0,2.748598099E0,3.720306114E0
3.901245870E-1,5.265080929E-1,1.747018576E0,-7.328529358E-1,1.966305699E0
3.948666710E-1,-2.962975979E0,1.161649466E0,-2.703035355E0,4.175530656E0
3.996087540E-1,-8.945224762E0,-6.255552769E-1,-9.924373627E-1,9.021823395E0
4.043508890E-1,-7.143698692E0,-1.462377310E0,-2.831648827E0,7.822353449E0
4.090929730E-1,-1.022439384E1,-2.015590429E0,-3.278527260E0,1.092472312E1
4.138350560E-1,-1.203870678E1,-2.330014706E0,-2.258125782E0,1.246830227E1
4.185771390E-1,-1.071990585E1,-1.991795063E0,-6.644434929E-1,1.092360354E1
4.233192230E-1,-6.383190155E0,-1.335095167E0,1.508797646E0,6.693583943E0
4.280613060E-1,-1.599967718E0,-2.612125874E-1,2.879810333E0,3.304759639E0
4.328034410E-1,1.364413142E0,8.709547520E-1,2.819650650E0,3.251248251E0
4.375455250E-1,4.777526855E-1,2.603882074E0,5.677051544E-1,2.707533680E0
4.422876080E-1,6.517183781E-1,3.295994282E0,-5.001621246E-1,3.396833423E0
4.470296910E-1,4.219508171E-1,3.056904554E0,-5.330038071E-1,3.131581231E0
4.517717750E-1,-3.549759388E-1,2.603916645E0,-1.774400234E0,3.170944024E0
4.565138580E-1,-9.931004047E-1,2.132494450E0,-2.875678539E0,3.715280346E0
4.612559930E-1,-1.207807302E0,1.809307098E0,-3.094450951E0,3.782593996E0
4.659980770E-1,-9.551479816E-1,1.737727165E0,-2.724784374E0,3.369933717E0
4.707401600E-1,-6.197581291E-1,1.818495274E0,-2.179297447E0,2.905230208E0
4.754822430E-1,-5.501575470E-1,2.038036346E0,-1.911044121E0,2.847517359E0
4.802243270E-1,-5.137145519E-1,2.285600424E0,-1.743822098E0,2.920408781E0
4.849664620E-1,-3.247497082E-1,2.477444410E0,-1.816349030E0,3.089064094E0
4.897085460E-1,2.704362869E-1,2.504617214E0,-1.699466228E0,3.038820271E0
4.944506290E-1,9.892116785E-1,2.280278683E0,-1.332654953E0,2.820315557E0
4.991927120E-1,1.028267980E0,1.774486303E0,-6.959075928E-1,2.165738686E0
5.039347960E-1,4.181842804E-1,9.099597931E-1,-1.747350693E-1,1.016581163E0
5.086768790E-1,-2.424550056E-1,5.980181694E-2,2.190227509E-1,3.321620876E-1
5.134189620E-1,-1.179389358E0,-3.940203190E-1,1.011975288E0,1.603217157E0
5.181610460E-1,-1.711818814E0,-7.474117279E-1,2.245121002E0,2.920533557E0
5.229031810E-1,-1.817682981E0,-1.007827044E0,4.171058655E0,4.660194961E0
5.276452640E-1,-1.626777768E0,-1.285966158E0,5.517257690E0,5.894085789E0
5.323873480E-1,-1.107804537E0,-1.563998461E0,5.632977486E0,5.950105666E0
5.371294310E-1,-4.643362761E-1,-1.817857862E0,4.998494148E0,5.339022301E0
5.418715140E-1,1.850795746E-1,-1.943054199E0,3.998813629E0,4.449744320E0
5.466135980E-1,9.168387055E-1,-2.014517546E0,3.041520119E0,3.761611196E0
5.513556810E-1,1.431272268E0,-2.114131689E0,2.571310043E0,3.623496715E0
5.560978160E-1,1.289323330E0,-2.669127941E0,3.380195618E0,4.495811498E0
5.608399000E-1,8.243866563E-1,-2.981790304E0,3.309080124E0,4.529977709E0
5.655819830E-1,3.803701401E-1,-3.096692562E0,2.275337219E0,3.861521168E0
5.703240660E-1,1.307131052E-1,-3.328927994E0,1.919710159E0,3.845014252E0
5.750661500E-1,-2.787197828E-1,-3.564317226E0,2.020532608E0,4.106652411E0
5.798082330E-1,-9.154065847E-1,-3.701465607E0,2.393995285E0,4.502225036E0
5.845503160E-1,-1.621273994E0,-3.627582788E0,2.758100510E0,4.836838293E0
5.892924000E-1,-2.045622826E0,-3.327889919E0,2.942358017E0,4.890490237E0
5.940344830E-1,-2.129697561E0,-2.946083069E0,3.086091995E0,4.768540757E0
5.987765660E-1,-2.054617643E0,-2.747674942E0,2.211428642E0,4.081860836E0
6.035187020E-1,-2.174462795E0,-2.859078169E0,1.743968964E0,3.992999395E0
6.082607850E-1,-1.896899581E0,-2.783880949E0,2.561740875E0,4.232107923E0
6.130028680E-1,-1.216380000E0,-2.853623867E0,3.261685371E0,4.501259928E0
6.177449520E-1,-3.645720482E-1,-2.819801092E0,3.050137520E0,4.169835712E0
6.224870350E-1,-4.276962280E-1,-3.600972652E0,2.635291100E0,4.482709815E0
6.272291180E-1,-2.366905212E-1,-4.561898708E0,1.614643097E0,4.844998922E0
6.319712020E-1,2.271905541E-1,-5.069365978E0,2.243852615E-1,5.079412930E0
6.367132850E-1,5.574424267E-1,-5.228744984E0,-7.957577705E-1,5.318246571E0
6.414553680E-1,8.049713969E-1,-5.118612766E0,-1.809460640E0,5.488380764E0
6.461974520E-1,1.234135628E0,-4.592334747E0,-3.214984417E0,5.740100520E0
6.509395350E-1,1.927475691E0,-2.821352959E0,-8.617696762E0,9.270377152E0
6.556816710E-1,3.509462595E0,1.210531235E0,-1.459378242E1,1.505855900E1
6.604237020E-1,3.394682407E0,1.668014050E0,-7.665081501E0,8.547491675E0
6.651658370E-1,2.041885376E0,2.281726837E0,-3.911553860E0,4.967476909E0
6.699079210E-1,-1.472412944E-1,2.180592537E0,-4.399104118E0,4.912105542E0
6.746500040E-1,-2.091287613E0,1.008286476E0,-4.800986767E0,5.332879094E0
6.793920870E-1,-2.733939886E0,2.733898163E-2,-4.085017681E0,4.915541087E0
6.841341710E-1,-2.645485640E0,-3.132195473E-1,-3.463671684E0,4.369636403E0
6.888762540E-1,-2.698892593E0,9.025764465E-2,-3.719868422E0,4.596693240E0
6.936183370E-1,-2.862892628E0,4.433922768E-1,-3.673391104E0,4.678306650E0
6.983604210E-1,-2.930158138E0,5.781126022E-1,-3.062740326E0,4.277898924E0
7.031025040E-1,-2.777315855E0,5.823431015E-1,-2.584085464E0,3.837981831E0
7.078445870E-1,-2.484720707E0,2.985749245E-1,-2.412942886E0,3.476388550E0
7.125866710E-1,-2.366753101E0,-1.737947464E-1,-2.240335941E0,3.263560937E0
