"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.711239220467221E9,"2024-03-23 20:13:40.467 UTC-04:00"
"PAUSE",4.505387183333369E1,1.711239265519938E9,"2024-03-23 20:14:25.520 UTC-04:00"
