"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.023035833E-1,6.917016381E-1,3.508125324E0,1.776303131E0,3.992574014E0
6.122915833E-1,4.634099668E-1,3.215478027E0,3.760797253E0,4.969672396E0
6.222795833E-1,7.366275501E-1,3.049064516E0,4.541275412E0,5.519293156E0
6.322675833E-1,1.567649626E0,3.714389949E0,3.615911728E0,5.415628834E0
6.422565833E-1,2.276990560E0,4.024139181E0,3.107766176E0,5.571049521E0
6.522445833E-1,2.351269494E0,3.891189870E0,3.343759799E0,5.643629721E0
6.622325833E-1,1.796677462E0,3.453648570E0,2.874814566E0,4.839452152E0
6.722205833E-1,1.336985155E0,2.913276381E0,2.527622688E0,4.082105465E0
6.822085833E-1,1.009598381E0,2.221549600E0,1.693121372E0,2.970055807E0
6.921975833E-1,1.300145942E0,1.589314730E0,9.929068460E-1,2.280825461E0
7.021855833E-1,1.694552332E0,7.881114069E-1,7.090865797E-1,1.998857417E0
7.121735833E-1,1.321494126E0,-4.162746844E-1,7.019711030E-1,1.553188581E0
7.221615833E-1,7.320292997E-1,-1.345609213E0,9.044544069E-1,1.778923502E0
7.321505833E-1,-2.429518104E-2,-1.365136867E0,3.427988648E-1,1.407728661E0
7.421385833E-1,-3.296420449E-1,-1.199942500E0,-1.261302888E-1,1.250773653E0
7.521265833E-1,-3.217442107E-1,-1.128019116E0,-2.581045774E-1,1.201068040E0
7.621155833E-1,-6.248387271E-1,-1.119917214E0,-6.568399537E-1,1.440859718E0
7.721035833E-1,-8.007001698E-1,-1.467533892E0,-9.893746161E-1,1.942585550E0
7.820918333E-1,-1.179702070E0,-2.198949088E0,-1.183287291E0,2.761746346E0
7.920798333E-1,-1.300969230E0,-2.650662138E0,-5.305555907E-1,3.000003324E0
8.020678333E-1,-1.255557414E0,-2.589797301E0,-3.681553155E-1,2.901553518E0
8.120568333E-1,-1.876945699E0,-1.984084086E0,-7.427995786E-1,2.830417996E0
8.220448333E-1,-2.433559114E0,-1.310632046E0,-9.500298715E-1,2.922759497E0
8.320328333E-1,-2.553122395E0,-1.021582103E0,-8.736494476E-1,2.885364330E0
