"event","experiment time","system time","system time text"
"START",0.000000000E0,1712084174.003,"2024-04-02 14:56:14.003 UTC-04:00"
"PAUSE",4.866688206E1,1712084222.670,"2024-04-02 14:57:02.670 UTC-04:00"
