"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.455144300E-1,3.631363869E0,6.197037697E0,1.816749001E1,1.953580745E1
3.502557840E-1,2.353324175E0,6.246089458E0,1.795521545E1,1.915571795E1
3.549971380E-1,8.696150780E-1,6.364216805E0,1.765192795E1,1.878430319E1
3.597384400E-1,-3.048616946E-1,6.719488621E0,1.765614319E1,1.889401652E1
3.644797950E-1,-9.135656357E-1,7.339862347E0,1.789434624E1,1.936274280E1
3.692211490E-1,-1.098926902E0,7.931581974E0,1.814372253E1,1.983210277E1
3.739624510E-1,-1.139561176E0,8.389284134E0,1.807612801E1,1.996058846E1
3.787038050E-1,-1.155841351E0,8.675809860E0,1.759640312E1,1.965296539E1
3.834451590E-1,-1.206699133E0,8.764297485E0,1.690290833E1,1.907819025E1
3.881865130E-1,-1.300827742E0,8.852109909E0,1.628809738E1,1.858370574E1
3.929278150E-1,-1.431418896E0,8.880557060E0,1.577402687E1,1.815855659E1
3.976691700E-1,-1.555995703E0,8.836194992E0,1.517954826E1,1.763287129E1
4.024105240E-1,-1.676542044E0,8.618344307E0,1.445572376E1,1.691314877E1
4.071518260E-1,-1.665474653E0,8.328544617E0,1.353041840E1,1.597531481E1
4.118931800E-1,-1.444110632E0,8.053310394E0,1.233670902E1,1.480323118E1
4.166345340E-1,-9.906299710E-1,7.913954258E0,1.094758892E1,1.354480428E1
4.213758880E-1,-4.880604148E-1,7.910246849E0,9.404043198E0,1.229822087E1
4.261171900E-1,-1.419913769E-2,7.990333557E0,7.866881371E0,1.121309299E1
4.308585450E-1,3.096675277E-1,8.140872002E0,6.369616508E0,1.034126227E1
4.355998990E-1,4.037629068E-1,8.305945396E0,5.094455719E0,9.752191163E0
4.403412530E-1,3.383555114E-1,8.460653305E0,4.008914948E0,9.368486423E0
4.450825550E-1,1.775331795E-2,8.570831299E0,3.066823006E0,9.103014209E0
4.498239090E-1,-5.250738859E-1,8.505199432E0,2.272651672E0,8.819244049E0
4.545652630E-1,-1.172445178E0,8.270639420E0,1.723586082E0,8.529293821E0
4.593066180E-1,-1.890103102E0,7.840185165E0,1.405064583E0,8.186281185E0
4.640479200E-1,-2.836164951E0,7.210838318E0,1.314620018E0,7.859277745E0
4.687892740E-1,-3.960528612E0,6.326795578E0,1.377141953E0,7.590167925E0
4.735306280E-1,-5.063093185E0,5.229039192E0,1.779585838E0,7.492975993E0
4.782719820E-1,-5.894649982E0,3.907590866E0,2.331139565E0,7.446500954E0
4.830132840E-1,-6.429878235E0,2.475566864E0,2.739005089E0,7.414439580E0
