"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.299541710E-1,-8.454648256E-1,2.324304581E-1,1.012597084E-1,8.826597406E-1
3.346959940E-1,-8.227161169E-1,2.428169250E-1,1.203732491E-1,8.662052801E-1
3.394378170E-1,-7.699613571E-1,2.404608727E-1,1.233625412E-1,8.160148524E-1
3.441796400E-1,-7.536903620E-1,2.281284332E-1,1.268105507E-1,7.976043252E-1
3.489215150E-1,-7.264459133E-1,2.130837440E-1,1.259078979E-1,7.674510706E-1
3.536633380E-1,-7.523586750E-1,1.530361176E-1,1.111359596E-1,7.757672529E-1
3.584051610E-1,-7.982180119E-1,1.218819618E-1,5.179548264E-2,8.091291486E-1
3.631469840E-1,-6.290694475E-1,-1.440987587E-1,-4.727306366E-1,7.999794228E-1
3.678888060E-1,-2.770328522E-1,-6.748714447E-1,-1.560089111E0,1.722230154E0
3.726306810E-1,1.004865170E-1,-9.934129715E-1,-2.198944092E0,2.415020081E0
3.773725040E-1,3.907914162E-1,-1.305876732E0,-2.088848114E0,2.494257086E0
3.821143270E-1,8.181720972E-1,-1.277174950E0,-1.610004425E0,2.211943869E0
3.868561500E-1,1.159776568E0,-8.791971207E-1,-9.097871780E-1,1.716328050E0
3.915979730E-1,1.099500299E0,-1.416568756E-1,5.143785477E-2,1.109780803E0
3.963398480E-1,1.009644985E0,4.713902473E-1,8.022303581E-1,1.373013222E0
4.010816710E-1,1.189661503E0,4.292922020E-1,8.240847588E-1,1.509537007E0
4.058234940E-1,1.348800182E0,2.781701088E-1,7.578887939E-1,1.571952914E0
4.105653170E-1,1.049141884E0,3.237390518E-2,7.211303711E-1,1.273489605E0
4.153071400E-1,3.837471008E-1,-1.661329269E-1,8.203587532E-1,9.207879619E-1
4.200490150E-1,-2.480318546E-1,-1.741704941E-1,9.618930817E-1,1.008510517E0
4.247908380E-1,-6.676087379E-1,4.611301422E-2,1.048144817E0,1.243557556E0
4.295326610E-1,-8.573887348E-1,3.029999733E-1,9.068822861E-1,1.284274078E0
4.342744840E-1,-1.000986695E0,5.492930412E-1,5.734286308E-1,1.277700123E0
4.390163060E-1,-1.222769856E0,6.343131065E-1,1.512298584E-1,1.385781263E0
4.437581810E-1,-1.567492366E0,5.416059494E-1,-2.409811020E-1,1.675840450E0
4.485000040E-1,-1.854889274E0,3.210377693E-1,-5.805001259E-1,1.969939051E0
4.532418270E-1,-1.764560699E0,3.366432190E-1,-9.229860306E-1,2.019630246E0
4.579836500E-1,-1.444262147E0,4.516816139E-1,-1.193231583E0,1.927099125E0
4.627254730E-1,-1.052998781E0,4.147853851E-1,-1.252572060E0,1.688132137E0
4.674672960E-1,-6.656039953E-1,3.035292625E-1,-1.136345387E0,1.351458297E0
4.722091710E-1,-4.521012306E-1,1.040620804E-1,-9.905128479E-1,1.093773350E0
4.769509940E-1,-1.793272495E-1,-4.321765900E-2,-8.840141296E-1,9.030542674E-1
4.816928170E-1,2.670509815E-1,3.105640411E-3,-6.413044930E-1,6.946922516E-1
4.864346400E-1,5.379456878E-1,6.570816040E-3,-3.754353523E-1,6.560338729E-1
4.911764630E-1,6.211652160E-1,-6.073284149E-2,-1.557235718E-1,6.432608603E-1
4.959183380E-1,5.236718655E-1,-1.718201637E-1,7.706975937E-2,5.565016973E-1
5.006601610E-1,2.718933821E-1,-3.523454666E-1,4.647884369E-1,6.435072883E-1
5.054019840E-1,-1.401329041E-1,-4.598207474E-1,9.113750458E-1,1.030377030E0
5.101438060E-1,-4.453104734E-1,-5.027856827E-1,1.286560059E0,1.451320655E0
5.148856290E-1,-6.710984707E-1,-5.868062973E-1,1.335683346E0,1.605853290E0
5.196275040E-1,-6.768505573E-1,-6.480035782E-1,1.005477428E0,1.374416303E0
