"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.104704167E-1,-1.322008097E0,5.130791402E-1,-2.039563783E0,2.484104675E0
6.204594167E-1,-1.217771537E0,8.269874972E-1,-1.928635086E0,2.426212920E0
6.304494167E-1,-1.370834686E0,1.054618433E0,-1.418531009E0,2.236881311E0
6.404384167E-1,-1.223417024E0,1.417217140E0,-9.829157817E-1,2.114563092E0
6.504274167E-1,-1.269623769E0,2.134441289E0,2.554344463E-1,2.496603871E0
6.604164167E-1,-1.887490276E0,2.300525018E0,-3.104169846E-1,2.991887966E0
6.704054167E-1,-1.866932927E0,1.846097544E0,-1.023319457E0,2.817924308E0
6.803944167E-1,-8.829158226E-1,1.534413468E0,-6.029648781E-1,1.870168892E0
6.903844167E-1,2.708225638E-2,1.580457952E0,-3.668841308E-1,1.622709078E0
7.003734167E-1,8.799077225E-1,1.913038223E0,-6.622632462E-1,2.207384300E0
7.103624167E-1,1.407725647E0,2.386362728E0,-1.741517168E-1,2.776102914E0
7.203514167E-1,1.528788446E0,2.773181187E0,1.246912891E-1,3.169112798E0
7.303404167E-1,1.481959850E0,3.056434346E0,2.776971352E-1,3.408095012E0
7.403294167E-1,1.096824805E0,2.749042711E0,1.366537567E0,3.260013099E0
7.503194167E-1,8.261358503E-1,1.889919502E0,2.339761004E0,3.119098864E0
7.603084167E-1,3.641625443E-1,1.494346592E0,3.118927048E0,3.477555467E0
7.702974167E-1,-1.196661919E-1,1.350885156E0,4.077088643E0,4.296726952E0
7.802864167E-1,-1.872921646E-1,9.824175990E-1,5.002442095E0,5.101436034E0
7.902754167E-1,1.088511819E0,1.498041447E0,4.984492897E0,5.317344788E0
8.002644167E-1,2.399140649E0,1.988943853E0,4.692937860E0,5.633421630E0
8.102544167E-1,3.215468380E0,2.144409038E0,3.615649772E0,5.292508885E0
8.202434167E-1,3.782577839E0,2.181465182E0,2.688632203E0,5.127906841E0
8.302324167E-1,3.675263305E0,2.293653955E0,3.003759704E0,5.271715204E0
8.402214167E-1,2.909570416E0,3.183989017E0,3.446782769E0,5.521204354E0
8.502104167E-1,1.995916073E0,3.058758615E0,3.724069430E0,5.216165100E0
8.602027500E-1,1.516795807E0,1.951594763E0,3.041842620E0,3.919464015E0
8.701927500E-1,5.457124507E-1,1.569592656E0,2.257311755E0,2.803012584E0
8.801817500E-1,8.397964078E-1,1.083082679E0,2.285157658E0,2.664633487E0
8.901707500E-1,1.702384093E0,7.979297590E-1,2.859191098E0,3.421955177E0
9.001597500E-1,2.060664631E0,6.791260314E-1,3.633579090E0,4.232073710E0
9.101487500E-1,2.310870497E0,1.579648697E0,3.561941927E0,4.530214427E0
9.201377500E-1,1.808963631E0,2.240201048E0,3.707249329E0,4.694097117E0
9.301277500E-1,9.767136401E-1,2.119862427E0,4.329482537E0,4.918557236E0
9.401167500E-1,4.155592775E-1,1.845085391E0,4.091199728E0,4.507210316E0
9.501057500E-1,1.190879023E-1,1.563691646E0,3.196946447E0,3.560867882E0
9.600947500E-1,-2.337827915E-1,1.308968806E0,2.738815931E0,3.044530577E0
9.700837500E-1,-8.055533588E-1,1.107002469E0,2.321718836E0,2.695319839E0
9.800727500E-1,-1.688986952E0,7.600567585E-1,2.152547777E0,2.839687507E0
9.900617500E-1,-2.939632705E0,2.810271245E-1,1.866324817E0,3.493362994E0
1.000051750E0,-3.970906715E0,-2.487522483E-1,1.190511818E0,4.152986420E0
1.010040750E0,-4.323571587E0,-3.460429001E-1,7.440488362E-1,4.400752847E0
1.020029750E0,-4.828978010E0,-2.782771790E-1,3.887006772E-1,4.852582305E0
1.030018750E0,-5.649600813E0,-7.232336256E-1,2.350267866E-1,5.700552063E0
1.040007750E0,-6.207215856E0,-1.353323152E0,-3.108201501E-1,6.360630583E0
1.049996750E0,-6.578197131E0,-2.103208387E0,-6.474446476E-1,6.936522730E0
1.059986750E0,-6.883226491E0,-2.929157419E0,-4.397243580E-1,7.493472334E0
1.069975750E0,-6.855707740E0,-3.292765647E0,5.948118129E-1,7.628685032E0
1.079964750E0,-6.982781185E0,-3.521953112E0,1.610642156E0,7.984832807E0
1.089953750E0,-7.243473448E0,-3.238747607E0,1.149108561E0,8.017346452E0
1.099942750E0,-7.314365090E0,-2.616478146E0,1.671852564E0,7.946130225E0
