"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.711238298874641E9,"2024-03-23 19:58:18.875 UTC-04:00"
"PAUSE",4.731853400000000E1,1.711238346192585E9,"2024-03-23 19:59:06.193 UTC-04:00"
